ISBN,name,keyword,category
P2005290003,募「粽」愛心活動-金滿福蛋黃粽(單顆),/公益\愛心\端午節,本周精選
P2001070001,超取萊爾富商品,,本周精選
P1701160006,Udilife－森，麻24分格整理盒/分隔置物盒 ,/,生活好康
P1803190098,炸雞不沾手必備指套(30入/盒),手套/炸機指套\不沾手指套\拋棄式指套\生活用品,生活好康
P1812050009,居家衣架收納架 R75,/收納\置物架\毛巾架\掛架\整理架,生活好康
P1907170029,鐵藝隔板置物架(大號) A051,/收納架\整理架\置物架,生活好康
P1811210083,兒童玩具-磨輪動力聲光慣性消防雲梯車,/玩具\汽車\玩具車\兒童玩具\聖誕玩具\交換禮物,生活好康
P1607060010,Super Wings 超級飛俠 變形傑洛米,玩具/兒童玩具\模型\樂高\積木\變形系列,生活好康
P1802270002,法國特福Ｔｅｆａｌ－ＣＡＰＴＡＩＮ不鏽鋼隨行保溫瓶　３５０ＭＬ,水壺/保溫杯\環保杯\保溫茶壺\不鏽鋼保溫瓶,生活好康
P1811230006,貨櫃拖車(內附12台小車),/玩具\汽車\玩具車\兒童玩具\聖誕玩具\交換禮物,生活好康
P1704270002,回彈記憶棉綁帶椅墊,靠墊/辦公椅墊\抱枕\靠腰枕\屁墊,生活好康
P1810090015,環保小麥雙扣藥盒 S28-1,/收納盒\收納箱\藥盒\小盒子\分裝盒,生活好康
P1604120004,台灣製平面式三層防塵成人口罩(藍色),口罩/抗菌\衛生用品\抗寒用品\防風\居家生活,生活好康
P1704210007,可摺疊大容量收納籃 Y71,洗衣籃/居家生活\衣物收納\籃子\折疊收納籃,生活好康
P1505170005,日本精緻不鏽鋼蘋果切果器,廚房用具/削皮刀\刨絲器\蘋果切果器,生活好康
P1606290015,日本貝印KAI-119系列/抗菌指甲剪type001S弧型  248593,指甲刀/衛生用品\居家生活,生活好康
P1805090008,Ｔｅｆａｌ　特福　－　ＭａｓｔｅｒＳｅａｌ　樂活系列無縫膠圈ＰＰ密封保鮮點心盒１Ｌ,/保鮮盒\法國特福Tefal\綠色生活,生活好康
P1801310127,３Ｄ立體佩佩豬雙肩兒童書包,背包/幼兒書包\兒童背包\開學用品\兒童節特輯,生活好康
P1606080023,小久保KOKUBO-球形附蓋製冰盒10格(小)(220922),製冰盒/製冰盒\製冰器\夏日消暑\冰棍,生活好康
P1604200043,英國 Cath Kidston-經典防水挺版假期萬用包/旅行中提袋(玫瑰印花米)(無肩背帶) + 好禮二選一,旅行袋/萬用包\收納袋\旅行包\行李箱\行李袋\愛TA就購了,生活好康
P1501140020,長頸鹿止滑棉襪(4入組每色各一),襪子/短襪\長襪\隱形襪\防滑襪,生活好康
P1506290013,Yantra Mat-瑞典按摩機能墊(M),按摩/運動配備\運動\機能墊,生活好康
P1910310014,Bogazy 旅繪行者 20吋拉絲紋可加大行李箱,/Bogazy\20吋\旅繪行者\行李箱,生活好康
P1911140003,台灣製優得-氣炸鍋專用紙36入,/台灣製\氣炸鍋\專用紙,生活好康
P1511250016,印度手工線香板&線香盒(Gonesh線香可使用),芳香/蠟燭\精油\薰香\香氛蠟燭,生活好康
P1709200019,比得兔細針精繡少女襪２２～２４ｃｍ　（三入組）,/襪子\居家生活\時尚服飾\帆船襪,生活好康
P1509030005,日本雞仔牌-炭的強力脫臭劑(冷凍用),ST/除臭劑\冰箱除臭\消臭劑\芳香劑,生活好康
P1707140004,ＰＥＲＦＥＣＴ極緻３１６不銹鋼內鍋６人份,/,生活好康
P1904290005,INTEX 59469 熱帶魚三件式游泳池 132*28cm(有附修補片),/INTEX\泳池\遊戲池\充氣泳池\夏日小物,生活好康
P1704270001,神奇ＢＡＢＹ　ＧＯ－３Ｄ隨身動物園ＡＲ卡（中英日韓四語言）,學習機/翻譯機\親子益智\教育遊戲\遊戲機,生活好康
